spine,title,year,director,boxset,movie_id,imdb_rating,metascore
1317,It Was Just an Accident,2025,Jafar Panahi,Standalone Only,it-was-just-an-accident-2025,7.5,91
1316,Desperate Living,1977,John Waters,Standalone Only,desperate-living-1977,7,NA
1315,Hairspray,1988,John Waters,Standalone Only,hairspray-1988,7,77
1314,High Art,1998,Lisa Cholodenko,Standalone Only,high-art-1998,6.6,73
1313,West Indies,1979,Med Hondo,Standalone Only,west-indies-1979,7.1,NA
1312,Lenny,1974,Bob Fosse,Standalone Only,lenny-1974,7.5,61
1311,Sentimental Value,2025,Joachim Trier,Standalone Only,sentimental-value-2025,7.8,86
1310,Fresh Kill,1994,Shu Lea Cheang,Standalone Only,fresh-kill-1994,6,NA
1309,The Delta,1996,Ira Sachs,Standalone Only,the-delta-1996,5.5,60
1308,Body Heat,1981,Lawrence Kasdan,Standalone Only,body-heat-1981,7.4,77
1307,Baby Boy,2001,John Singleton,John Singleton's Hood Trilogy,baby-boy-2001,6.5,55
1307,Poetic Justice,1993,John Singleton,John Singleton's Hood Trilogy,poetic-justice-1993,6.1,51
1307,Boyz n the Hood,1991,John Singleton,John Singleton's Hood Trilogy,boyz-n-the-hood-1991,7.8,76
1306,Point Blank,1967,John Boorman,Standalone Only,point-blank-1967,7.3,86
1305,The Blade,1995,Tsui Hark,Standalone Only,the-blade-1995,6.9,NA
1304,A Man and a Woman,1966,Claude Lelouch,Standalone Only,a-man-and-a-woman-1966,7.5,NA
1303,Testament,1983,Lynne Littman,Standalone Only,testament-1983,6.9,71
1302,Killers of the Flower Moon,2023,Martin Scorsese,Standalone Only,killers-of-the-flower-moon-2023,7.5,89
1301,The Man Who Wasn't There,2001,Joel Coen,Standalone Only,the-man-who-wasnt-there-2001,7.5,73
1300,Network,1976,Sidney Lumet,Standalone Only,network-1976,8.1,83
1299,Kiss of the Spider Woman,1985,Héctor Babenco,Standalone Only,kiss-of-the-spider-woman-1985,7.3,80
1298,Birth,2004,Jonathan Glazer,Standalone Only,birth-2004,6.3,51
1297,Captain Blood,1935,Michael Curtiz,Standalone Only,captain-blood-1935,7.7,89
1296,The Fall of Otrar,1991,Ardak Amirkulov,Martin Scorsese's World Cinema Project No. 5,the-fall-of-otrar-1991,7.3,NA
1296,The Choice,1987,Idrissa Ouédraogo,Martin Scorsese's World Cinema Project No. 5,the-choice-1987,NA,NA
1296,Kummatty,1979,G. Aravindan,Martin Scorsese's World Cinema Project No. 5,kummatty-1979,7.3,NA
1296,Chronicle of the Years of Fire,1975,Mohammed Lakhdar-Hamina,Martin Scorsese's World Cinema Project No. 5,chronicle-of-the-years-of-fire-1975,7.4,NA
1295,The Dead,1987,John Huston,Standalone Only,the-dead-1987,7.2,NA
