spine,title,year,director,boxset,movie_id,tmdb_id,runtime_min,genre,country,language,popularity,vote_average,vote_count
1317,It Was Just an Accident,2025,Jafar Panahi,Standalone,it-was-just-an-accident-2025,1456349,103,"Drama, Thriller, Crime, Mystery","Iran, France, Luxembourg",fr,10.1678,7.2,473
1316,Desperate Living,1977,John Waters,Standalone,desperate-living-1977,14262,91,"Comedy, Crime",United States of America,en,31.77,6.413,115
1315,Hairspray,1988,John Waters,Standalone,hairspray-1988,11054,92,"Comedy, Music, Romance",United States of America,en,4.3912,6.807,443
1314,High Art,1998,Lisa Cholodenko,Standalone,high-art-1998,37636,101,"Drama, Romance","Canada, United States of America",en,6.6095,6.2,142
1313,West Indies,1979,Med Hondo,Standalone,west-indies-1979,271858,116,"Music, History, Drama","Algeria, France, Mauritania",fr,0.4708,6.4,13
1312,Lenny,1974,Bob Fosse,Standalone,lenny-1974,27094,111,Drama,United States of America,en,2.055,7.305,298
1311,Sentimental Value,2025,Joachim Trier,Standalone,sentimental-value-2025,1124566,133,Drama,"Turkey, Norway, France, Denmark, Sweden, Germany, United Kingdom",no,15.8325,7.5,738
1310,Fresh Kill,1994,Shu Lea Cheang,Standalone,fresh-kill-1994,375914,79,"Science Fiction, Drama","United Kingdom, United States of America",en,0.7964,5.3,15
1309,The Delta,1996,Ira Sachs,Standalone,the-delta-1996,107199,85,Drama,United States of America,en,1.4938,5.192,26
1308,Body Heat,1981,Lawrence Kasdan,Standalone,body-heat-1981,14412,113,"Thriller, Crime",United States of America,en,3.63,7,669
1307,Baby Boy,2001,John Singleton,John Singleton's Hood Trilogy,baby-boy-2001,16161,130,"Crime, Drama, Romance, Thriller",United States of America,en,3.002,7.079,346
1307,Poetic Justice,1993,John Singleton,John Singleton's Hood Trilogy,poetic-justice-1993,8291,109,"Drama, Romance",United States of America,en,1.9504,6.8,271
1307,Boyz n the Hood,1991,John Singleton,John Singleton's Hood Trilogy,boyz-n-the-hood-1991,650,112,"Crime, Drama",United States of America,en,3.9797,7.6,2209
