movie_id,country
it-was-just-an-accident-2025,Iran
it-was-just-an-accident-2025,France
it-was-just-an-accident-2025,Luxembourg
desperate-living-1977,United States of America
hairspray-1988,United States of America
high-art-1998,Canada
high-art-1998,United States of America
west-indies-1979,Algeria
west-indies-1979,France
west-indies-1979,Mauritania
lenny-1974,United States of America
sentimental-value-2025,Turkey
sentimental-value-2025,Norway
sentimental-value-2025,France
sentimental-value-2025,Denmark
sentimental-value-2025,Sweden
sentimental-value-2025,Germany
sentimental-value-2025,United Kingdom
fresh-kill-1994,United Kingdom
fresh-kill-1994,United States of America
the-delta-1996,United States of America
body-heat-1981,United States of America
baby-boy-2001,United States of America
poetic-justice-1993,United States of America
boyz-n-the-hood-1991,United States of America
point-blank-1967,United States of America
the-blade-1995,Hong Kong
a-man-and-a-woman-1966,France
testament-1983,United States of America
killers-of-the-flower-moon-2023,United States of America
the-man-who-wasnt-there-2001,United Kingdom
the-man-who-wasnt-there-2001,United States of America
network-1976,United States of America
kiss-of-the-spider-woman-1985,Brazil
kiss-of-the-spider-woman-1985,United States of America
birth-2004,Germany
birth-2004,United Kingdom
birth-2004,United States of America
captain-blood-1935,United States of America
the-fall-of-otrar-1991,Kazakhstan
the-choice-1987,NA
kummatty-1979,India
chronicle-of-the-years-of-fire-1975,Algeria
the-dead-1987,Germany
the-dead-1987,Ireland
the-dead-1987,United Kingdom
the-dead-1987,United States of America
david-byrnes-american-utopia-2020,United States of America
peewees-big-adventure-1985,United States of America
salaam-bombay-1988,France
salaam-bombay-1988,India
salaam-bombay-1988,United Kingdom
the-mysteries-of-the-chateau-of-dice-1929,France
the-starfish-1928,France
emakbakia-1926,France
return-to-reason-1923,France
eyes-wide-shut-1999,United Kingdom
eyes-wide-shut-1999,United States of America
él-1953,Mexico
hells-angels-1930,United States of America
house-party-1990,United States of America
nightmare-alley-2021,United States of America
deep-crimson-1996,Mexico
deep-crimson-1996,France
deep-crimson-1996,Spain
altered-states-1980,United States of America
a-history-of-violence-2005,Germany
a-history-of-violence-2005,United States of America
the-french-dispatch-of-the-liberty-kansas-evening-sun-2021,United States of America
the-french-dispatch-of-the-liberty-kansas-evening-sun-2021,Germany
isle-of-dogs-2018,United States of America
isle-of-dogs-2018,Germany
the-beat-that-my-heart-skipped-2005,France
read-my-lips-2001,France
flow-2024,United Kingdom
born-in-flames-1983,United States of America
saving-face-2004,United States of America
mahjong-1996,Taiwan
a-confucian-confusion-1994,Taiwan
compensation-1999,United States of America
cairo-station-1958,Egypt
shoeshine-1946,Italy
you-can-count-on-me-2000,United States of America
carnal-knowledge-1971,United States of America
the-big-heat-1953,United States of America
thirty-two-short-films-about-glenn-gould-1993,Finland
thirty-two-short-films-about-glenn-gould-1993,Canada
thirty-two-short-films-about-glenn-gould-1993,Netherlands
thirty-two-short-films-about-glenn-gould-1993,Portugal
sorcerer-1977,United States of America
sorcerer-1977,Mexico
midnight-1939,United States of America
thelonious-monk-straight-no-chaser-1988,United States of America
the-wiz-1978,United States of America
the-four-musketeers-1974,Spain
the-four-musketeers-1974,United Kingdom
the-four-musketeers-1974,United States of America
the-three-musketeers-1973,Spain
the-three-musketeers-1973,United Kingdom
the-three-musketeers-1973,United States of America
killer-of-sheep-1978,United States of America
the-wind-will-carry-us-1999,Iran
the-wind-will-carry-us-1999,France
basquiat-1996,United States of America
anora-2024,United States of America
prince-of-broadway-2008,United States of America
manon-of-the-spring-1986,France
manon-of-the-spring-1986,Italy
jean-de-florette-1986,France
jean-de-florette-1986,Italy
jean-de-florette-1986,Switzerland
