movie_id,director
it-was-just-an-accident-2025,Jafar Panahi
desperate-living-1977,John Waters
hairspray-1988,John Waters
high-art-1998,Lisa Cholodenko
west-indies-1979,Med Hondo
lenny-1974,Bob Fosse
sentimental-value-2025,Joachim Trier
fresh-kill-1994,Shu Lea Cheang
the-delta-1996,Ira Sachs
body-heat-1981,Lawrence Kasdan
baby-boy-2001,John Singleton
poetic-justice-1993,John Singleton
boyz-n-the-hood-1991,John Singleton
point-blank-1967,John Boorman
the-blade-1995,Tsui Hark
a-man-and-a-woman-1966,Claude Lelouch
testament-1983,Lynne Littman
killers-of-the-flower-moon-2023,Martin Scorsese
the-man-who-wasnt-there-2001,Joel Coen
network-1976,Sidney Lumet
kiss-of-the-spider-woman-1985,Héctor Babenco
birth-2004,Jonathan Glazer
captain-blood-1935,Michael Curtiz
the-fall-of-otrar-1991,Ardak Amirkulov
the-choice-1987,Idrissa Ouédraogo
kummatty-1979,G. Aravindan
chronicle-of-the-years-of-fire-1975,Mohammed Lakhdar-Hamina
the-dead-1987,John Huston
david-byrnes-american-utopia-2020,Spike Lee
peewees-big-adventure-1985,Tim Burton
salaam-bombay-1988,Mira Nair
the-mysteries-of-the-chateau-of-dice-1929,Man Ray
the-starfish-1928,Man Ray
emakbakia-1926,Man Ray
return-to-reason-1923,Man Ray
eyes-wide-shut-1999,Stanley Kubrick
él-1953,Luis Buñuel
hells-angels-1930,Howard Hughes
house-party-1990,Reginald Hudlin
nightmare-alley-2021,Guillermo del Toro
deep-crimson-1996,Arturo Ripstein
altered-states-1980,Ken Russell
a-history-of-violence-2005,David Cronenberg
the-french-dispatch-of-the-liberty-kansas-evening-sun-2021,Wes Anderson
isle-of-dogs-2018,Wes Anderson
the-beat-that-my-heart-skipped-2005,Jacques Audiard
read-my-lips-2001,Jacques Audiard
flow-2024,Gints Zilbalodis
born-in-flames-1983,Lizzie Borden
saving-face-2004,Alice Wu
mahjong-1996,Edward Yang
a-confucian-confusion-1994,Edward Yang
compensation-1999,Zeinabu irene Davis
cairo-station-1958,Youssef Chahine
shoeshine-1946,Vittorio De Sica
you-can-count-on-me-2000,Kenneth Lonergan
carnal-knowledge-1971,Mike Nichols
the-big-heat-1953,Fritz Lang
thirty-two-short-films-about-glenn-gould-1993,François Girard
sorcerer-1977,William Friedkin
midnight-1939,Mitchell Leisen
thelonious-monk-straight-no-chaser-1988,Charlotte Zwerin
the-wiz-1978,Sidney Lumet
the-four-musketeers-1974,Richard Lester
the-three-musketeers-1973,Richard Lester
killer-of-sheep-1978,Charles Burnett
the-wind-will-carry-us-1999,Abbas Kiarostami
basquiat-1996,Julian Schnabel
anora-2024,Sean Baker
prince-of-broadway-2008,Sean Baker
manon-of-the-spring-1986,Claude Berri
jean-de-florette-1986,Claude Berri
choose-me-1984,Alan Rudolph
night-moves-1975,Arthur Penn
godzilla-vs-biollante-1989,Kazuki Omori
a-woman-of-paris-a-drama-of-fate-1923,Charlie Chaplin
performance-1970,Donald Cammell
performance-1970,Nicolas Roeg
drugstore-cowboy-1989,Gus Van Sant
crossing-delancey-1988,Joan Micklin Silver
king-lear-1987,Jean-Luc Godard
winchester-73-1950,Anthony Mann
jo-jo-dancer-your-life-is-calling-1986,Richard Pryor
the-grifters-1990,Stephen Frears
the-mother-and-the-whore-1973,Jean Eustache
eastern-condors-1987,Sammo Hung
no-country-for-old-men-2007,Joel Coen
no-country-for-old-men-2007,Ethan Coen
the-shape-of-water-2017,Guillermo del Toro
paper-moon-1973,Peter Bogdanovich
funny-girl-1968,William Wyler
scarface-1932,Howard Hawks
gummo-1997,Harmony Korine
demon-pond-1979,Masahiro Shinoda
the-seventh-victim-1943,Mark Robson
i-walked-with-a-zombie-1943,Jacques Tourneur
happiness-1998,Todd Solondz
all-of-us-strangers-2023,Andrew Haigh
nowhere-1997,Gregg Araki
the-doom-generation-1995,Gregg Araki
totally-fed-up-1993,Gregg Araki
mother-1996,Albert Brooks
real-life-1979,Albert Brooks
not-a-pretty-picture-1976,Martha Coolidge
the-long-farewell-1971,Kira Muratova
brief-encounters-1967,Kira Muratova
farewell-my-concubine-1993,Chen Kaige
risky-business-1983,Paul Brickman
perfect-days-2023,Wim Wenders
black-god-white-devil-1964,Glauber Rocha
pat-garrett-billy-the-kid-1973,Sam Peckinpah
the-underground-railroad-2021,Barry Jenkins
victims-of-sin-1951,Emilio Fernández
querelle-1982,Rainer Werner Fassbinder
bound-1996,Lana Wachowski
bound-1996,Lilly Wachowski
girlfight-2000,Karyn Kusama
anatomy-of-a-fall-2023,Justine Triet
ceddo-1977,Ousmane Sembène
xala-1975,Ousmane Sembène
emitaï-1971,Ousmane Sembène
dogfight-1991,Nancy Savoca
werckmeister-harmonies-2000,Béla Tarr
werckmeister-harmonies-2000,Ágnes Hranitzky
i-am-cuba-1964,Mikhail Kalatozov
to-die-for-1995,Gus Van Sant
saint-omer-2022,Alice Diop
the-runner-1984,Amir Naderi
all-the-beauty-and-the-bloodshed-2022,Laura Poitras
nothing-but-a-man-1964,Michael Roemer
the-roaring-twenties-1939,Raoul Walsh
heroic-trio-2-executioners-1993,Johnnie To
heroic-trio-2-executioners-1993,Ching Siu-Tung
the-heroic-trio-1993,Johnnie To
a-tale-of-autumn-1998,Eric Rohmer
a-summers-tale-1996,Eric Rohmer
a-tale-of-winter-1992,Eric Rohmer
a-tale-of-springtime-1990,Eric Rohmer
mudbound-2017,Dee Rees
trainspotting-1996,Danny Boyle
the-meetings-of-anna-1978,Chantal Akerman
news-from-home-1976,Chantal Akerman
je-tu-il-elle-1974,Chantal Akerman
le-158-1973,Chantal Akerman
hotel-monterey-1973,Chantal Akerman
the-chamber-1972,Chantal Akerman
the-beloved-child-or-i-play-at-being-a-married-woman-1971,Chantal Akerman
saute-ma-ville-1968,Chantal Akerman
lone-star-1996,John Sayles
guillermo-del-toros-pinocchio-2022,Guillermo del Toro
circus-angel-1965,Albert Lamorisse
stowaway-in-the-sky-1960,Albert Lamorisse
the-red-balloon-1956,Albert Lamorisse
white-mane-1953,Albert Lamorisse
bim-the-little-donkey-1951,Albert Lamorisse
la-cérémonie-1995,Claude Chabrol
mean-streets-1973,Martin Scorsese
my-lucky-stars-1985,Sammo Hung
the-young-master-1980,Jackie Chan
fearless-hyena-2-1983,Chan Chuen
fearless-hyena-1979,Jackie Chan
spiritual-kung-fu-1978,Lo Wei
half-a-loaf-of-kung-fu-1978,Chan Chi-hwa
nanny-2022,Nikyatu Jusu
the-others-2001,Alejandro Amenábar
freaks-1932,Tod Browning
the-unknown-1927,Tod Browning
the-mystic-1925,Tod Browning
la-bamba-1987,Luis Valdez
moonage-daydream-2022,Brett Morgen
the-trial-1962,Orson Welles
drylongso-1998,Cauleen Smith
adalen-31-1969,Bo Widerberg
elvira-madigan-1967,Bo Widerberg
ravens-end-1963,Bo Widerberg
the-baby-carriage-1963,Bo Widerberg
dim-sum-a-little-bit-of-heart-1985,Wayne Wang
one-false-move-1991,Carl Franklin
comanche-station-1960,Budd Boetticher
ride-lonesome-1959,Budd Boetticher
buchanan-rides-alone-1958,Budd Boetticher
decision-at-sundown-1957,Budd Boetticher
the-tall-t-1957,Budd Boetticher
after-hours-1985,Martin Scorsese
the-watermelon-woman-1996,Cheryl Dunye
medicine-for-melancholy-2008,Barry Jenkins
the-servant-1963,Joseph Losey
petite-maman-2021,Céline Sciamma
thelma-louise-1991,Ridley Scott
targets-1968,Peter Bogdanovich
triangle-of-sadness-2022,Ruben Östlund
mangrove-2020,Steve McQueen
lovers-rock-2020,Steve McQueen
red-white-and-blue-2020,Steve McQueen
alex-wheatle-2020,Steve McQueen
education-2020,Steve McQueen
chilly-scenes-of-winter-1979,Joan Micklin Silver
inland-empire-2006,David Lynch
last-hurrah-for-chivalry-1979,John Woo
hollywood-shuffle-1987,Robert Townsend
baxter-vera-baxter-1977,Marguerite Duras
india-song-1975,Marguerite Duras
romeo-and-juliet-1968,Franco Zeffirelli
bergman-island-2021,Mia Hansen-Løve
this-is-not-a-burial-its-a-resurrection-2019,Lemohang Jeremiah Mosese
epidemic-1987,Lars von Trier
imitation-of-life-1934,John M. Stahl
the-adventures-of-baron-munchausen-1988,Terry Gilliam
cooley-high-1975,Michael Schultz
the-velvet-underground-2021,Todd Haynes
71-fragments-of-a-chronology-of-chance-1994,Michael Haneke
bennys-video-1992,Michael Haneke
the-seventh-continent-1989,Michael Haneke
the-girls-1968,Mai Zetterling
night-games-1966,Mai Zetterling
loving-couples-1964,Mai Zetterling
walle-2008,Andrew Stanton
malcolm-x-1992,Spike Lee
infernal-affairs-iii-2003,Andrew Lau
infernal-affairs-iii-2003,Alan Mak
infernal-affairs-ii-2003,Andrew Lau
infernal-affairs-ii-2003,Alan Mak
infernal-affairs-2002,Andrew Lau
infernal-affairs-2002,Alan Mak
the-power-of-the-dog-2021,Jane Campion
daisies-1966,Věra Chytilová
la-llorona-2019,Jayro Bustamante
cure-1997,Kiyoshi Kurosawa
eves-bayou-1997,Kasi Lemmons
arsenic-and-old-lace-1944,Frank Capra
lost-highway-1997,David Lynch
sound-of-metal-2019,Darius Marder
exotica-1994,Atom Egoyan
take-out-2004,Sean Baker
take-out-2004,Shih-Ching Tsou
kalpana-1948,Uday Shankar
two-girls-on-the-street-1939,Andre de Toth
muna-moto-1975,Jean-Pierre Dikongué Pipa
chess-of-the-wind-1976,Mohammad Reza Aslani
prisoners-of-the-land-1939,Mario Soffici
sambizanga-1972,Sarah Maldoror
faya-dayi-2021,Jessica Beshir
buck-and-the-preacher-1972,Sidney Poitier
hôtel-du-nord-1938,Marcel Carné
daddy-longlegs-2009,Josh Safdie
daddy-longlegs-2009,Benny Safdie
frownland-2007,Ronald Bronstein
drive-my-car-2021,Ryusuke Hamaguchi
devil-in-a-blue-dress-1995,Carl Franklin
raging-bull-1980,Martin Scorsese
okja-2017,Bong Joon-ho
the-worst-person-in-the-world-2021,Joachim Trier
pink-flamingos-1972,John Waters
shaft-1971,Gordon Parks
rouge-1987,Stanley Kwan
farewell-amor-2020,Ekwa Msangi
mississippi-masala-1991,Mira Nair
double-indemnity-1944,Billy Wilder
the-funeral-1984,Juzo Itami
chan-is-missing-1982,Wayne Wang
mr-klein-1976,Joseph Losey
round-midnight-1986,Bertrand Tavernier
eyimofe-this-is-my-desire-2020,Arie
eyimofe-this-is-my-desire-2020,Chuko
the-girl-cant-help-it-1956,Frank Tashlin
miracle-in-milan-1951,Vittorio De Sica
the-last-waltz-1978,Martin Scorsese
love-jones-1997,Theodore Witcher
the-flight-of-the-phoenix-1965,Robert Aldrich
adoption-1975,Márta Mészáros
love-affair-1939,Leo McCarey
boat-people-1982,Ann Hui
millers-crossing-1990,Joel Coen
millers-crossing-1990,Ethan Coen
dick-johnson-is-dead-2020,Kirsten Johnson
the-piano-1993,Jane Campion
time-2020,Garrett Bradley
the-celebration-1998,Thomas Vinterberg
the-learning-tree-1969,Gordon Parks
one-night-in-miami-2020,Regina King
menace-ii-society-1993,Albert Hughes
menace-ii-society-1993,Allen Hughes
citizen-kane-1941,Orson Welles
once-upon-a-time-in-china-v-1994,Tsui Hark
once-upon-a-time-in-china-iv-1993,Yuen Bun
once-upon-a-time-in-china-iii-1992,Tsui Hark
once-upon-a-time-in-china-ii-1992,Tsui Hark
once-upon-a-time-in-china-1991,Tsui Hark
devi-1960,Satyajit Ray
uncut-gems-2019,Josh Safdie
uncut-gems-2019,Benny Safdie
the-incredible-shrinking-man-1957,Jack Arnold
high-sierra-1941,Raoul Walsh
the-damned-1969,Luchino Visconti
love-basketball-2000,Gina Prince-Bythewood
dont-play-us-cheap-1973,Melvin Van Peebles
sweet-sweetbacks-baadasssss-song-1971,Melvin Van Peebles
watermelon-man-1970,Melvin Van Peebles
the-story-of-a-threeday-pass-1967,Melvin Van Peebles
throw-down-2004,Johnnie To
beasts-of-no-nation-2015,Cary Joji Fukunaga
original-cast-album-company-1970,D.A. Pennebaker
after-life-1998,Hirokazu Kore-eda
the-swimming-pool-1969,Jacques Deray
working-girls-1986,Lizzie Borden
deep-cover-1992,Bill Duke
bringing-up-baby-1938,Howard Hawks
mirror-1975,Andrei Tarkovsky
pariah-2011,Dee Rees
black-is-black-aint-1994,Marlon Riggs
no-regret-1993,Marlon Riggs
color-adjustment-1992,Marlon Riggs
anthem-1992,Marlon Riggs
affirmations-1990,Marlon Riggs
tongues-untied-1989,Marlon Riggs
ethnic-notions-1986,Marlon Riggs
visions-of-eight-1973,Miloš Forman
visions-of-eight-1973,Kon Ichikawa
visions-of-eight-1973,Claude Lelouch
visions-of-eight-1973,Yuri Ozerov
visions-of-eight-1973,Arthur Penn
visions-of-eight-1973,Michael Pfleghar
visions-of-eight-1973,John Schlesinger
visions-of-eight-1973,Mai Zetterling
tiny-the-life-of-erin-blackwell-2016,Martin Bell
streetwise-1984,Martin Bell
nightmare-alley-1947,Edmund Goulding
flowers-of-shanghai-1998,Hou Hsiao-hsien
merrily-we-go-to-hell-1932,Dorothy Arzner
fast-times-at-ridgemont-high-1982,Amy Heckerling
irma-vep-1996,Olivier Assayas
memories-of-murder-2003,Bong Joon-ho
history-is-made-at-night-1937,Frank Borzage
