spine,title,year,boxset,runtime_min,language,tmdb_popularity,tmdb_vote_avg,tmdb_vote_count,imdb_rating,metascore,tmdb_id,movie_id
1317,It Was Just an Accident,2025,Standalone,103,French,10.1678,7.2,473,7.5,91,1456349,it-was-just-an-accident-2025
1316,Desperate Living,1977,Standalone,91,English,31.77,6.413,115,7,NA,14262,desperate-living-1977
1315,Hairspray,1988,Standalone,92,English,4.3912,6.807,443,7,77,11054,hairspray-1988
1314,High Art,1998,Standalone,101,English,6.6095,6.2,142,6.6,73,37636,high-art-1998
1313,West Indies,1979,Standalone,116,French,0.4708,6.4,13,7.1,NA,271858,west-indies-1979
1312,Lenny,1974,Standalone,111,English,2.055,7.305,298,7.5,61,27094,lenny-1974
1311,Sentimental Value,2025,Standalone,133,Norwegian,15.8325,7.5,738,7.8,86,1124566,sentimental-value-2025
1310,Fresh Kill,1994,Standalone,79,English,0.7964,5.3,15,6,NA,375914,fresh-kill-1994
1309,The Delta,1996,Standalone,85,English,1.4938,5.192,26,5.5,60,107199,the-delta-1996
1308,Body Heat,1981,Standalone,113,English,3.63,7,669,7.4,77,14412,body-heat-1981
1307,Baby Boy,2001,John Singleton's Hood Trilogy,130,English,3.002,7.079,346,6.5,55,16161,baby-boy-2001
1307,Poetic Justice,1993,John Singleton's Hood Trilogy,109,English,1.9504,6.8,271,6.1,51,8291,poetic-justice-1993
1307,Boyz n the Hood,1991,John Singleton's Hood Trilogy,112,English,3.9797,7.6,2209,7.8,76,650,boyz-n-the-hood-1991
1306,Point Blank,1967,Standalone,91,English,1.5718,7.027,423,7.3,86,26039,point-blank-1967
1305,The Blade,1995,Standalone,106,Cantonese,4.105,7.043,116,6.9,NA,42845,the-blade-1995
1304,A Man and a Woman,1966,Standalone,102,French,1.621,7.3,305,7.5,NA,42726,a-man-and-a-woman-1966
1303,Testament,1983,Standalone,90,English,4.9904,6.4,133,6.9,71,21259,testament-1983
1302,Killers of the Flower Moon,2023,Standalone,206,English,8.7577,7.4,4038,7.5,89,466420,killers-of-the-flower-moon-2023
1301,The Man Who Wasn't There,2001,Standalone,116,English,3.455,7.509,1726,7.5,73,10778,the-man-who-wasnt-there-2001
1300,Network,1976,Standalone,122,English,4.442,7.81,1977,8.1,83,10774,network-1976
1299,Kiss of the Spider Woman,1985,Standalone,120,English,2.2471,6.982,335,7.3,80,11703,kiss-of-the-spider-woman-1985
1298,Birth,2004,Standalone,100,English,3.0326,6.043,742,6.3,51,10740,birth-2004
1297,Captain Blood,1935,Standalone,119,English,1.5821,7.208,260,7.7,89,16905,captain-blood-1935
1296,The Fall of Otrar,1991,Martin Scorsese's World Cinema Project No. 5,156,Kazakh,1.4892,6.7,13,7.3,NA,48683,the-fall-of-otrar-1991
1296,The Choice,1987,Martin Scorsese's World Cinema Project No. 5,20,English,0.1696,0,0,6.5,NA,1330376,the-choice-1987
1296,Kummatty,1979,Martin Scorsese's World Cinema Project No. 5,90,Malayalam,0.2308,6,11,7.3,NA,256379,kummatty-1979
1296,Chronicle of the Years of Fire,1975,Martin Scorsese's World Cinema Project No. 5,177,Arabic,0.8976,6.4,23,7.4,NA,52555,chronicle-of-the-years-of-fire-1975
1295,The Dead,1987,Standalone,83,English,1.6357,6.844,186,7.2,NA,39507,the-dead-1987
1294,David Byrne's American Utopia,2020,Standalone,105,English,1.6376,7.5,82,8.2,93,668800,david-byrnes-american-utopia-2020
